OS,E1,E2,E3,E4,FE,IA,P1,P2,P3,P4,H1,H2,H3,H4,L1,L2,L3,L4,L5,L6,GG
60.24177033,65,46,61,46,48,5,17,16,15,12,73,60,59,50,15,19,26,19,23,55.5,3
33.26860048,20,18.5,17,18.5,18,4,16,17,12.5,9,100,86,88,88,17,17,25,23,25,13.5,3
62.95333333,71,48,38,52.33333333,48.33333333,6,20,14,17,15,100,100,94,94,21.85,18.08888889,33.38461538,24.16666667,29.76,51.56842105,3.666666667
40.31080542,22,30,29,27,28.66666667,2,14,9,16,6,67,93,88,88,18,15.5,22,25,19,47,2.333333333
80.27167464,75,78,73,62,84.66666667,7,18,15,16.5,18.5,87,93,94,94,20,22,33,29,30,63,3.333333333
77.94230861,84,73,74,66,72.33333333,6,17,14,14.5,14,100,93,100,100,22,22,27,28,29,55.5,4
60.91900718,76,55,71,58,63.66666667,11,18,0,14,0,93,50,0,6,18,10,26,28,12,41.5,3.333333333
78.8,78,82,87,51,63.66666667,5,20,14,17.5,11.5,100,100,100,100,21.85,21.51111111,33.92307692,24.16666667,29.14,65.36842105,3.666666667
76.2172488,77,72,74,65,73,7,20,17,18,10,100,100,100,100,18,20,29,26,29,47,3.333333333
42.89858852,61,27,13,20,18.33333333,6,16,13,8,15,93,100,100,100,19,17,21.5,19,21,41,3
68.44592105,75,70,74,27,37.66666667,5,20,19,20,18.5,93,93,75,81,21,19,29,27,25,60.5,3
69.52440191,79,61,69,50,54.33333333,6,17,17,18,11,93,100,94,88,18,20,28,26,26,50.5,3
33.29300239,39,27,27,31,28.33333333,7,12,11,10.5,11.16666667,60,0,13,6,5,16,19,19,11,10,1
87.51758373,95,77,91,84,88,9,18,18,16.5,18.5,87,71,81,94,20,21,30.5,24,29,63,4
76.29598086,81,69,69,53,63.33333333,8,18,17,19,18.5,100,93,100,94,21,20,34,26,31,64,3.333333333
68.5375,71,61,67,45,62.66666667,5,18,15,16,9,67,93,75,88,17.71,18.48,33.25,24.71313131,27.69333333,61.18,3
41.4016547,33,31,23,29,27.66666667,3,16,16,17.5,16.5,100,93,56,44,20,18,26,23,23,12.5,3.333333333
71.95931818,86,53,67,48,54.66666667,8,20,12,19,17.5,100,100,100,100,21,21,33,27,29,59,3.333333333
82.24598086,84,68,83,75,75.33333333,6,18,17,16.5,18,93,100,88,94,22,20,34,28,29,63,3.333333333
41.03484848,51,32.33333333,31,15,26.11111111,4,18,0,16.5,9.5,53,50,38,75,23,9.5,11,27,15,38,3
49.07802632,53,46,44,24,28.66666667,3,13,13,14,5,73,71,69,81,18,19,28,24,20,39.5,2.666666667
69.8741866,79,59,57,48,58,8,19,17,16,18,93,100,94,100,15,17,30,28,29,60,3
72.43005981,101,93,69,60,72.66666667,11,17,16,15.5,0,87,71,81,38,11,21,30,25,16,16,2.666666667
71.5886244,83,58,63,56,58.66666667,5,16,15,14.5,17,93,86,69,88,21,20,31,25,28,64,3
63.58782297,79,55,70,46,52.66666667,4,16,14,9.5,13.5,80,86,75,81,15,19,24,19,21,43,3
78.0676555,78,75,83,61,66,9,19,17,17,12.5,100,100,100,100,19,22,30,26,27,60,3
76.94411085,81,69.66666667,62,66,76,11,17,14,16.5,16,100,100,94,100,20,20.5,32,26,30,60,4
39.15886364,38,29,19,9,18,2,15,12,14,13,67,79,88,88,16,17,25.5,28,20,36,2.666666667
65.84199761,67,76,74,64,50.33333333,6,18,11,14,12.5,87,50,63,63,19,19,11,25,9,46,2.666666667
33.14577352,40,35,30,35,33.33333333,2,17,0,0,5.666666667,40,0,6,0,21,10,13,25,12,9,3
55.72114833,59,69,46,40,46.66666667,6,17,14,7.5,13,7,29,13,6,16,18,28,17,21,53,2.333333333
76.12029904,89,81,70,56,61.66666667,6,19,16,20,18,80,57,63,75,22,21,34,26,29,45,4
60.63029904,46,55,60,35,43,2,19,17,18,6.5,100,100,100,100,19,21,28,26,28,55,2.666666667
69.075,78,50,74,48,45,3,20,13,15.5,14,67,86,81,81,22.425,21.51111111,32.30769231,23.2,29.14,65.36842105,3
